time_s,R0_m,speed_m_per_s,R_m,E_env_v_per_m,E_shaft_v_per_m
-286.0,300.0,5.0,1461.1296999240005,1.9133089081427047e-09,1.3106166020777527e-10
-285.5,300.0,5.0,1458.683053305275,1.922952634865932e-09,-4.51893869193494e-11
-285.0,300.0,5.0,1456.23658792107,1.932660559258566e-09,1.3238724830921178e-10
-284.5,300.0,5.0,1453.7903046863396,1.942433210241468e-09,-4.56471804406745e-11
-284.0,300.0,5.0,1451.3442045221389,1.952271121910011e-09,1.3373057185083574e-10
-283.5,300.0,5.0,1448.8982883556735,1.9621748335924676e-09,-4.6111108589422987e-11
-283.0,300.0,5.0,1446.4525571203503,1.9721448899091584e-09,1.3509192495877737e-10
-282.5,300.0,5.0,1444.0070117558294,1.9821818408323366e-09,-4.658127325955991e-11
-282.0,300.0,5.0,1441.5616532080755,1.992286241746846e-09,1.3647160755965895e-10
-281.5,300.0,5.0,1439.1164824294106,2.0024586535115576e-09,-4.70577783575216e-11
-281.0,300.0,5.0,1436.671500378566,2.0126996425215893e-09,1.3786992551272887e-10
-280.5,300.0,5.0,1434.2267080207369,2.0230097807713197e-09,-4.7540729848126014e-11
-280.0,300.0,5.0,1431.7821063276353,2.0333896459182227e-09,1.3928719074539826e-10
-279.5,300.0,5.0,1429.337696277545,2.0438398213475098e-09,-4.803023580166648e-11
-279.0,300.0,5.0,1426.893478855377,2.0543608962376122e-09,1.4072372139227645e-10
-278.5,300.0,5.0,1424.4494550527231,2.0649534656265124e-09,-4.852640644222304e-11
-278.0,300.0,5.0,1422.0056258679147,2.0756181304789178e-09,1.4217984193780589e-10
-277.5,300.0,5.0,1419.5619923060774,2.0863554977543168e-09,-4.9029354197226444e-11
-277.0,300.0,5.0,1417.118555379189,2.0971661804759122e-09,1.436558833626e-10
-276.5,300.0,5.0,1414.6753161061374,2.1080507978004434e-09,-4.953919374831042e-11
-276.0,300.0,5.0,1412.2322755127784,2.1190099750889253e-09,1.451521832935914e-10
-275.5,300.0,5.0,1409.789434631995,2.1300443439782967e-09,-5.005604208348997e-11
-275.0,300.0,5.0,1407.3467945037569,2.1411545424540072e-09,1.466690861580995e-10
-274.5,300.0,5.0,1404.904356175181,2.1523412149235517e-09,-5.0580018550703466e-11
-274.0,300.0,5.0,1402.4621207005914,2.1636050122909657e-09,1.4820694334193116e-10
-273.5,300.0,5.0,1400.020089141581,2.1749465920322874e-09,-5.1111244912758753e-11
-273.0,300.0,5.0,1397.5782625670736,2.1863666182720172e-09,1.497661133516332e-10
-272.5,300.0,5.0,1395.1366420533868,2.197865761860575e-09,-5.1649845403723513e-11
-272.0,300.0,5.0,1392.6952286842948,2.2094447004527755e-09,1.5134696198101514e-10
-271.5,300.0,5.0,1390.254023551092,2.221104118587337e-09,-5.219594678680242e-11
-271.0,300.0,5.0,1387.813027752658,2.2328447077674346e-09,1.529498624820693e-10
-270.5,300.0,5.0,1385.372242395523,2.2446671665423167e-09,-5.274967841374444e-11
-270.0,300.0,5.0,1382.9316685939332,2.2565722005900015e-09,1.5457519574041513e-10
-269.5,300.0,5.0,1380.4913074699166,2.2685605228010657e-09,-5.331117228582504e-11
-269.0,300.0,5.0,1378.0511601533522,2.2806328533635384e-09,1.5622335045540239e-10
-268.5,300.0,5.0,1375.6112277820357,2.2927899198489295e-09,-5.388056311644984e-11
-268.0,300.0,5.0,1373.1715115017498,2.305032457299393e-09,1.5789472332500844e-10
-267.5,300.0,5.0,1370.7320124663318,2.3173612083160557e-09,-5.445798839542731e-11
-267.0,300.0,5.0,1368.2927318377454,2.329776923148511e-09,1.59589719235673e-10
-266.5,300.0,5.0,1365.8536707861497,2.342280359785525e-09,-5.504358845495984e-11
-266.0,300.0,5.0,1363.4148304899722,2.3548722840469336e-09,1.6130875145721495e-10
-265.5,300.0,5.0,1360.97621213598,2.3675534696767818e-09,-5.563750653740437e-11
-265.0,300.0,5.0,1358.5378169193525,2.380324698437706e-09,1.6305224184298288e-10
-264.5,300.0,5.0,1356.099646043756,2.393186760206586e-09,-5.623988886485477e-11
-264.0,300.0,5.0,1353.6617007214172,2.4061404530714683e-09,1.648206210353956e-10
-263.5,300.0,5.0,1351.2239821731998,2.4191865834298116e-09,-5.685088471060057e-11
-263.0,300.0,5.0,1348.7864916286787,2.4323259660880433e-09,1.66614328677031e-10
-262.5,300.0,5.0,1346.349230326218,2.445559424362462e-09,-5.747064647251785e-11
-262.0,300.0,5.0,1343.9121995130486,2.4588877901815e-09,1.6843381362743276e-10
-261.5,300.0,5.0,1341.4754004453455,2.4723119041893765e-09,-5.809932974845035e-11
-261.0,300.0,5.0,1339.0388343883085,2.485832615851145e-09,1.7027953418580344e-10
-260.5,300.0,5.0,1336.6025026162415,2.4994507835591694e-09,-5.873709341364048e-11
-260.0,300.0,5.0,1334.1664064126335,2.51316727474105e-09,1.7215195831976194e-10
-259.5,300.0,5.0,1331.7305470702397,2.526982965969014e-09,-5.938409970027184e-11
-259.0,300.0,5.0,1329.2949258911658,2.5408987430707897e-09,1.7405156390034912e-10
-258.5,300.0,5.0,1326.8595441869497,2.5549155012420062e-09,-6.004051427918715e-11
-258.0,300.0,5.0,1324.4244032786469,2.5690341451601198e-09,1.759788389434682e-10
-257.5,300.0,5.0,1321.9895044969155,2.5832555890998935e-09,-6.070650634384749e-11
-257.0,300.0,5.0,1319.554849182102,2.597580757050475e-09,1.7793428185795756e-10
-256.5,300.0,5.0,1317.1204386843292,2.6120105828340635e-09,-6.138224869660049e-11
-256.0,300.0,5.0,1314.6862743635836,2.6265460102262116e-09,1.799184017004955e-10
-255.5,300.0,5.0,1312.2523575898044,2.641187993077791e-09,-6.20679178373281e-11
-255.0,300.0,5.0,1309.8186897429734,2.6559374954386236e-09,1.8193171843754572e-10
-254.5,300.0,5.0,1307.3852722132065,2.6707954916828285e-09,-6.276369405454647e-11
-254.0,300.0,5.0,1304.952106400844,2.6857629666358985e-09,1.8397476321455905e-10
-253.5,300.0,5.0,1302.5191937165455,2.7008409157035266e-09,-6.346976151903288e-11
-253.0,300.0,5.0,1300.086535581382,2.716030345002232e-09,1.8604807863265292e-10
-252.5,300.0,5.0,1297.6541334269314,2.7313322714917817e-09,-6.418630838005687e-11
-252.0,300.0,5.0,1295.2219886953742,2.746747723109468e-09,1.8815221903299857e-10
-251.5,300.0,5.0,1292.7901028395909,2.762277738906235e-09,-6.491352686429652e-11
-251.0,300.0,5.0,1290.3584773232592,2.7779233691847215e-09,1.9028775078915344e-10
-250.5,300.0,5.0,1287.9271136209534,2.793685675639214e-09,-6.565161337752153e-11
-250.0,300.0,5.0,1285.4960132182441,2.809565731497566e-09,1.924552526075833e-10
-249.5,300.0,5.0,1283.0651776118,2.825564621665091e-09,-6.640076860912964e-11
-249.0,300.0,5.0,1280.6346083094897,2.8416834428704827e-09,1.9465531583662807e-10
-248.5,300.0,5.0,1278.2043068304847,2.8579233038137826e-09,-6.716119763962389e-11
-248.0,300.0,5.0,1275.7742747053649,2.87428532531641e-09,1.968885447841741e-10
-247.5,300.0,5.0,1273.3445134762235,2.8907706404733213e-09,-6.793311005112305e-11
-247.0,300.0,5.0,1270.9150246967733,2.907380394807314e-09,1.99155557044301e-10
-246.5,300.0,5.0,1268.4858099324565,2.924115746425481e-09,-6.871672004099881e-11
-246.0,300.0,5.0,1266.0568707605516,2.9409778661779153e-09,2.0145698383318723e-10
-245.5,300.0,5.0,1263.6282087702855,2.9579679378186253e-09,-6.95122465387377e-11
-245.0,300.0,5.0,1261.199825562944,2.97508715816875e-09,2.037934703345594e-10
-244.5,300.0,5.0,1258.771722751985,2.9923367372820855e-09,-7.031991332612901e-11
-244.0,300.0,5.0,1256.3439019631528,3.009717898612959e-09,2.0616567605498772e-10
-243.5,300.0,5.0,1253.916364834593,3.027231879186498e-09,-7.11399491608827e-11
-243.0,300.0,5.0,1251.489113016969,3.0448799297713224e-09,2.085742751893356e-10
-242.5,300.0,5.0,1249.0621481735807,3.062663315054697e-09,-7.197258790378538e-11
-242.0,300.0,5.0,1246.6354719804824,3.0805833138202003e-09,2.1101995699668374e-10
-241.5,300.0,5.0,1244.2090861266045,3.0986412191279147e-09,-7.2818068649506e-11
-241.0,300.0,5.0,1241.7829923138745,3.1168383384972223e-09,2.1350342618705975e-10
-240.5,300.0,5.0,1239.357192257341,3.1351759940922036e-09,-7.367663586116679e-11
-240.0,300.0,5.0,1236.9316876852981,3.15365552290971e-09,2.1602540331931515e-10
-239.5,300.0,5.0,1234.5064803394107,3.1722782769701478e-09,-7.454853950879848e-11
-239.0,300.0,5.0,1232.081571974843,3.1910456235109995e-09,2.1858662521050348e-10
-238.5,300.0,5.0,1229.6569643603862,3.209958945183151e-09,-7.543403521180406e-11
-238.0,300.0,5.0,1227.23265927859,3.2290196402500395e-09,2.211878453571277e-10
-237.5,300.0,5.0,1224.808658525894,3.2482291227896983e-09,-7.633338438555792e-11
-237.0,300.0,5.0,1222.3849639127602,3.2675888228997317e-09,2.2382983436863163e-10
-236.5,300.0,5.0,1219.9615772638087,3.2871001869052433e-09,-7.724685439227321e-11
-236.0,300.0,5.0,1217.5385004179539,3.3067646775698125e-09,2.2651338041353216e-10
-235.5,300.0,5.0,1215.115735228542,3.3265837743095208e-09,-7.817471869627373e-11
-235.0,300.0,5.0,1212.6932835634902,3.346558973410118e-09,2.292392896785931e-10
-234.5,300.0,5.0,1210.2711473054292,3.366691788247331e-09,-7.911725702381227e-11
-234.0,300.0,5.0,1207.8493283518437,3.386983749510417e-09,2.3200838684146356e-10
-233.5,300.0,5.0,1205.4278286152182,3.407436405428981e-09,-8.007475552758105e-11
-233.0,300.0,5.0,1203.0066500231826,3.4280513220031056e-09,2.3482151555721274e-10
-232.5,300.0,5.0,1200.5857945186592,3.4488300832368817e-09,-8.104750695606671e-11
-232.0,300.0,5.0,1198.1652640600128,3.469774291375346e-09,2.3767953895921123e-10
-231.5,300.0,5.0,1195.7450606212012,3.490885567144924e-09,-8.203581082790572e-11
-231.0,300.0,5.0,1193.3251861919282,3.5121655499974115e-09,2.405833401748227e-10
-230.5,300.0,5.0,1190.905642777798,3.533615898357554e-09,-8.303997361140252e-11
-230.0,300.0,5.0,1188.4864324004714,3.5552382898742895e-09,2.4353382285638886e-10
-229.5,300.0,5.0,1186.067557097824,3.577034421675708e-09,-8.406030890937914e-11
-229.0,300.0,5.0,1183.6490189241065,3.599006010627784e-09,2.465319117280032e-10
-228.5,300.0,5.0,1181.230819950106,3.6211547935969656e-09,-8.509713764952869e-11
-228.0,300.0,5.0,1178.81296226331,3.6434825277166447e-09,2.495785531485902e-10
-227.5,300.0,5.0,1176.3954479680717,3.6659909906576137e-09,-8.615078828045392e-11
-227.0,300.0,5.0,1173.9782791857779,3.688681980902535e-09,2.5267471569182365e-10
-226.5,300.0,5.0,1171.5614580550182,3.7115573180245194e-09,-8.72215969735762e-11
-226.0,300.0,5.0,1169.144986731757,3.734618842969863e-09,2.5582139074343565e-10
-225.5,300.0,5.0,1166.7288673895061,3.7578684183450155e-09,-8.830990783110787e-11
-225.0,300.0,5.0,1164.3131022195018,3.781307928707847e-09,2.5901959311648757e-10
-224.5,300.0,5.0,1161.8976934308803,3.8049392808632994e-09,-8.941607310028753e-11
-224.0,300.0,5.0,1159.4826432508596,3.828764404163454e-09,2.622703616851966e-10
-223.5,300.0,5.0,1157.0679539249197,3.8527852508121475e-09,-9.054045339408547e-11
-223.0,300.0,5.0,1154.6536277169878,3.8770037961741475e-09,2.6557476003792913e-10
-222.5,300.0,5.0,1152.2396669096233,3.9014220390890206e-09,-9.168341791859198e-11
-222.0,300.0,5.0,1149.826073804208,3.9260420021897175e-09,2.6893387714999566e-10
-221.5,300.0,5.0,1147.4128507211342,3.950865732226006e-09,-9.284534470731114e-11
-221.0,300.0,5.0,1145.0,3.975895300392781e-09,2.7234882807690553e-10
-220.5,300.0,5.0,1142.587523999803,4.001132802663371e-09,-9.402662086258921e-11
-220.0,300.0,5.0,1140.175425099138,4.026580360127904e-09,2.7582075466876146e-10
-219.5,300.0,5.0,1137.7637056963981,4.052240119336814e-09,-9.522764280441514e-11
-219.0,300.0,5.0,1135.3523682099756,4.078114252649601e-09,2.793508263064977e-10
-218.5,300.0,5.0,1132.9414150784673,4.104204958588887e-09,-9.644881652683883e-11
-218.0,300.0,5.0,1130.5308487608818,4.130514462199903e-09,2.829402406606934e-10
-217.5,300.0,5.0,1128.1206717368493,4.157045015415453e-09,-9.769055786226314e-11
-217.0,300.0,5.0,1125.710886506833,4.183798897426501e-09,2.8659022447371534e-10
-216.5,300.0,5.0,1123.3014955923454,4.210778415058403e-09,-9.895329275387247e-11
-216.0,300.0,5.0,1120.8925015361642,4.2379859031529454e-09,2.903020343659768e-10
-215.5,300.0,5.0,1118.4839069025536,4.26542372495625e-09,-1.0023745753647187e-10
-215.0,300.0,5.0,1116.0757142774858,4.293094272512663e-09,2.9407695766711744e-10
-214.5,300.0,5.0,1113.6679262688676,4.320999967064692e-09,-1.0154349922602025e-10
-214.0,300.0,5.0,1111.2605455067683,4.3491432594591535e-09,2.9791631327295205e-10
-213.5,300.0,5.0,1108.8535746436496,4.37752663055958e-09,-1.0287187581815012e-10
-213.0,300.0,5.0,1106.4470163546016,4.406152591665005e-09,3.0182145252905286e-10
-212.5,300.0,5.0,1104.040873337577,4.4350236849352765e-09,-1.04223056595979e-10
-212.0,300.0,5.0,1101.635148313633,4.4641424838229225e-09,3.057937601418702e-10
-211.5,300.0,5.0,1099.2298440271716,4.4935115935117824e-09,-1.0559752244752688e-10
-211.0,300.0,5.0,1096.8249632461873,4.523133651362418e-09,3.0983465511832566e-10
-210.5,300.0,5.0,1094.420508762514,4.553011327364512e-09,-1.0699576619306603e-10
-210.0,300.0,5.0,1092.0164833920778,4.583147324596279e-09,3.139455917348451e-10
-209.5,300.0,5.0,1089.6128899751507,4.613544379691113e-09,-1.0841829292274116e-10
-209.0,300.0,5.0,1087.2097313766099,4.644205263311471e-09,3.181280605368358e-10
-208.5,300.0,5.0,1084.807010486197,4.675132780630253e-09,-1.0986562034481095e-10
-208.0,300.0,5.0,1082.4047302187846,4.706329771819658e-09,3.223835893696466e-10
-207.5,300.0,5.0,1080.0028935146424,4.7377991125477885e-09,-1.1133827914487303e-10
-207.0,300.0,5.0,1077.6015033397086,4.769543714483026e-09,3.267137444420873e-10
-206.5,300.0,5.0,1075.2005626858647,4.801566525806355e-09,-1.1283681335644934e-10
-206.0,300.0,5.0,1072.800074571213,4.833870531731779e-09,3.311201314236269e-10
-205.5,300.0,5.0,1070.400042040358,4.86645875503494e-09,-1.143617807433211e-10
-205.0,300.0,5.0,1068.0004681646915,4.899334256590107e-09,3.3560439657642235e-10
-204.5,300.0,5.0,1065.6013560426807,4.9325001359156575e-09,-1.1591375319401794e-10
-204.0,300.0,5.0,1063.202708800161,4.965959531728202e-09,3.401682279233819e-10
-203.5,300.0,5.0,1060.804529590631,4.999715622505513e-09,-1.1749331712887954e-10
-203.0,300.0,5.0,1058.4068215955526,5.0337716270583945e-09,3.4481335645350003e-10
-202.5,300.0,5.0,1056.0095880246542,5.068130805111641e-09,-1.1910107392012356e-10
-202.0,300.0,5.0,1053.612832116238,5.102796457894269e-09,3.4954155736575745e-10
-201.5,300.0,5.0,1051.216557137491,5.137771928739142e-09,-1.2073764032536984e-10
-201.0,300.0,5.0,1048.8207663848004,5.173060603692186e-09,3.5435465135291475e-10
-200.5,300.0,5.0,1046.4254631840722,5.208665912131344e-09,-1.2240364893508658e-10
-200.0,300.0,5.0,1044.030650891055,5.244591327395431e-09,3.5925450592658703e-10
-199.5,300.0,5.0,1041.636332891667,5.2808403674230755e-09,-1.2409974863444228e-10
-199.0,300.0,5.0,1039.2425126023281,5.317416595401904e-09,3.642430367850305e-10
-198.5,300.0,5.0,1036.8491934702945,5.354323620428187e-09,-1.258266050800624e-10
-198.0,300.0,5.0,1034.456378974,5.391565098177051e-09,3.69322209225128e-10
-197.5,300.0,5.0,1032.0640726234005,5.429144731583512e-09,-1.2758490119221252e-10
-197.0,300.0,5.0,1029.6722779603226,5.467066271534489e-09,3.7449403960011253e-10
-196.5,300.0,5.0,1027.280998558817,5.505333517571992e-09,-1.2937533766294182e-10
-196.0,300.0,5.0,1024.8902380255165,5.543950318607664e-09,3.7976059682462504e-10
-195.5,300.0,5.0,1022.5,5.582920573648887e-09,-1.3119863348074884e-10
-195.0,300.0,5.0,1020.1102881551583,5.6222482325366625e-09,3.851240039287614e-10
-194.5,300.0,5.0,1017.7211061975672,5.661937296695458e-09,-1.3305552647234326e-10
-194.0,300.0,5.0,1015.3324578678651,5.701991819895208e-09,3.9058643966282175e-10
-193.5,300.0,5.0,1012.9443469411337,5.7424159090257445e-09,-1.34946773862105e-10
-193.0,300.0,5.0,1010.5567772272867,5.783213724883789e-09,3.9615014015453954e-10
-192.5,300.0,5.0,1008.1697525714605,5.824389482972795e-09,-1.3687315284986066e-10
-192.0,300.0,5.0,1005.7832768544126,5.8659474543158215e-09,4.018174006206338e-10
-191.5,300.0,5.0,1003.3973539929234,5.907891966281703e-09,-1.3883546120762003e-10
-191.0,300.0,5.0,1001.0119879402044,5.950227403424694e-09,4.075905771345916e-10
-190.5,300.0,5.0,998.6271826863116,5.9929582083378815e-09,-1.4083451789594022e-10
-190.0,300.0,5.0,996.2429422585637,6.036088882520571e-09,4.134720884526591e-10
-189.5,300.0,5.0,993.8592707219669,6.079623987259898e-09,-1.428711637006076e-10
-189.0,300.0,5.0,991.4761721796444,6.123568144526922e-09,4.194644179000942e-10
-188.5,300.0,5.0,989.0936507732723,6.167926037887433e-09,-1.4494626189035468e-10
-188.0,300.0,5.0,986.7117106835208,6.212702413427765e-09,4.2557011531980194e-10
-187.5,300.0,5.0,984.3303561305015,6.2579020806958535e-09,-1.4706069889635257e-10
-187.0,300.0,5.0,981.9495913742212,6.303529913657791e-09,4.3179179908555873e-10
-186.5,300.0,5.0,979.5694207150405,6.349590851670207e-09,-1.4921538501424986e-10
-186.0,300.0,5.0,977.1898484941398,6.396089900468672e-09,4.3813215818210405e-10
-185.5,300.0,5.0,974.8108790939913,6.4430321331724875e-09,-1.5141125512955345e-10
-185.0,300.0,5.0,972.4325169388362,6.490422691306089e-09,4.445939543544671e-10
-184.5,300.0,5.0,970.0547664951706,6.538266785837367e-09,-1.5364926946717813e-10
-184.0,300.0,5.0,967.6776322722355,6.586569698233241e-09,4.5118002432897707e-10
-183.5,300.0,5.0,965.3011188225154,6.635336781532736e-09,-1.559304143660193e-10
-183.0,300.0,5.0,962.925230742242,6.6845734614379e-09,4.578932821084962e-10
-182.5,300.0,5.0,960.5499726719063,6.734285237422871e-09,-1.5825570307943748e-10
-182.0,300.0,5.0,958.1753492967766,6.784477683861408e-09,4.647367213445065e-10
-181.5,300.0,5.0,955.801365347424,6.835156451173214e-09,-1.6062617660257053e-10
-181.0,300.0,5.0,953.4280256002547,6.886327266989392e-09,4.717134177887734e-10
-180.5,300.0,5.0,951.0553348780501,6.93799593733733e-09,-1.6304290452742725e-10
-180.0,300.0,5.0,948.6832980505138,6.990168347845421e-09,4.788265318274114e-10
-179.5,300.0,5.0,946.3119200348266,7.0428504649679135e-09,-1.6550698592674596e-10
-179.0,300.0,5.0,943.9412057962085,7.096048337230258e-09,4.860793111002727e-10
-178.5,300.0,5.0,941.571160348489,7.149768096495339e-09,-1.6801955026764048e-10
-178.0,300.0,5.0,939.201788754685,7.204015959250918e-09,4.93475093208688e-10
-177.5,300.0,5.0,936.8330961275866,7.258798227918691e-09,-1.7058175835608922e-10
-177.0,300.0,5.0,934.4650876303513,7.314121292185321e-09,5.010173085146945e-10
-176.5,300.0,5.0,932.0977684771057,7.369991630355864e-09,-1.731948033133628e-10
-176.0,300.0,5.0,929.7311439335567,7.426415810729921e-09,5.087094830349997e-10
-175.5,300.0,5.0,927.3652193176106,7.483400493000988e-09,-1.7585991158552322e-10
-175.0,300.0,5.0,925.0,7.540952429679364e-09,5.165552414330365e-10
-174.5,300.0,5.0,922.635491404921,7.59907846753904e-09,-1.7857834398716745e-10
-174.0,300.0,5.0,920.271699010678,7.657785549089008e-09,5.245583101125971e-10
-173.5,300.0,5.0,917.9086283503386,7.717080714069384e-09,-1.8135139678063054e-10
-173.0,300.0,5.0,915.5462850123963,7.776971100972832e-09,5.32722520416639e-10
-172.5,300.0,5.0,913.1846746414441,7.837463948591665e-09,-1.8418040279190412e-10
-172.0,300.0,5.0,910.823802938856,7.898566597591152e-09,5.410518119349939e-10
-171.5,300.0,5.0,908.4636756634796,7.96028649210941e-09,-1.8706673256457114e-10
-171.0,300.0,5.0,906.1042986323373,8.022631181384423e-09,5.49550235924833e-10
-170.5,300.0,5.0,903.7456777213378,8.085608321408585e-09,-1.9001179555310174e-10
-170.0,300.0,5.0,901.3878188659974,8.149225676611339e-09,5.582219588478768e-10
-169.5,300.0,5.0,899.0307280621726,8.213491121570303e-09,-1.930170413569021e-10
-169.0,300.0,5.0,896.6744113668016,8.278412642751462e-09,5.670712660284753e-10
-168.5,300.0,5.0,894.3188748986572,8.343998340278901e-09,-1.960839609965542e-10
-168.0,300.0,5.0,891.9641248391104,8.410256429734583e-09,5.76102565436819e-10
-167.5,300.0,5.0,889.6101674329043,8.47719524398871e-09,-1.992140882337347e-10
-167.0,300.0,5.0,887.25700898894,8.544823235061213e-09,5.853203916016932e-10
-166.5,300.0,5.0,884.9046558810729,8.613148976014876e-09,-2.0240900093634958e-10
-166.0,300.0,5.0,882.5531145489205,8.682181162880693e-09,5.947294096573275e-10
-165.5,300.0,5.0,880.2023914986826,8.75192861661593e-09,-2.0567032249047433e-10
-165.0,300.0,5.0,877.8524933039719,8.82240028509561e-09,6.043344195290493e-10
-164.5,300.0,5.0,875.5034266066581,8.893605245137808e-09,-2.089997232607385e-10
-164.0,300.0,5.0,873.155198117723,8.965552704563501e-09,6.141403602625999e-10
-163.5,300.0,5.0,870.807814618128,9.038252004291511e-09,-2.123989221008505e-10
-163.0,300.0,5.0,868.4612829596954,9.11171262046908e-09,6.241523145021321e-10
-162.5,300.0,5.0,866.1156100660004,9.18594416663884e-09,-2.1586968791601276e-10
-162.0,300.0,5.0,863.7708029332781,9.260956395942633e-09,6.343755131220704e-10
-161.5,300.0,5.0,861.4268686313424,9.336759203362948e-09,-2.1941384127902928e-10
-161.0,300.0,5.0,859.0838143045182,9.413362628002556e-09,6.448153400181752e-10
-160.5,300.0,5.0,856.7416471725884,9.49077685540299e-09,-2.2303325610197025e-10
-160.0,300.0,5.0,854.4003745317531,9.569012219902556e-09,6.554773370633251e-10
-159.5,300.0,5.0,852.060003755604,9.64807920703455e-09,-2.267298613653119e-10
-159.0,300.0,5.0,849.7205422961127,9.727988455966341e-09,6.663672092336944e-10
-158.5,300.0,5.0,847.3819976846333,9.808750761980027e-09,-2.3050564290653062e-10
-158.0,300.0,5.0,845.0443775329198,9.89037707899537e-09,6.774908299111829e-10
-157.5,300.0,5.0,842.7076895341587,9.972878522135703e-09,-2.3436264527018904e-10
-157.0,300.0,5.0,840.3719414640162,1.005626637033757e-08,6.888542463681236e-10
-156.5,300.0,5.0,838.037141181702,1.0140552069004766e-08,-2.38302973621612e-10
-156.0,300.0,5.0,835.7032966310471,1.0225747232707627e-08,7.004636854404725e-10
-155.5,300.0,5.0,833.3704158415992,1.0311863647928173e-08,-2.423287957263121e-10
-155.0,300.0,5.0,831.0385069297331,1.0398913275852037e-08,7.123255593958645e-10
-154.5,300.0,5.0,828.7075780997782,1.0486908255207808e-08,-2.464423439973835e-10
-154.0,300.0,5.0,826.3776376451628,1.0575860905154654e-08,7.244464720030939e-10
-153.5,300.0,5.0,824.0486939495748,1.0665783728219022e-08,-2.50645917613147e-10
-153.0,300.0,5.0,821.7207554881403,1.0756689413281146e-08,7.368332248097585e-10
-152.5,300.0,5.0,819.3938308286193,1.0848590838612267e-08,-2.549418847073883e-10
-152.0,300.0,5.0,817.0679286326199,1.094150107496334e-08,7.494928236349889e-10
-151.5,300.0,5.0,814.7430576568296,1.1035433388706061e-08,-2.5933268463459244e-10
-151.0,300.0,5.0,812.4192267542663,1.1130401245027079e-08,7.624324852843549e-10
-150.5,300.0,5.0,810.0964448755469,1.122641831117624e-08,-2.6382083031264165e-10
-150.0,300.0,5.0,807.7747210701756,1.1323498459769714e-08,7.756596444942254e-10
-149.5,300.0,5.0,805.4540644878515,1.1421655772148886e-08,-2.6840891064549883e-10
-149.0,300.0,5.0,803.1344843797955,1.152090454179593e-08,7.891819611130213e-10
-148.5,300.0,5.0,800.8159901000978,1.1621259277806868e-08,-2.730995930284614e-10
-148.0,300.0,5.0,798.4985911070852,1.1722734708423116e-08,8.030073275269835e-10
-147.5,300.0,5.0,796.1822969647089,1.182534578462238e-08,-2.778956259386259e-10
-147.0,300.0,5.0,793.8671173439545,1.1929107683769783e-08,8.171438763382302e-10
-146.5,300.0,5.0,791.5530620242714,1.2034035813330254e-08,-2.8279984161326095e-10
-146.0,300.0,5.0,789.2401408950257,1.214014581464299e-08,8.315999883030448e-10
-145.5,300.0,5.0,786.9283639569742,1.2247453566759022e-08,-2.87815158818837e-10
-145.0,300.0,5.0,784.6177413237608,1.2355975190342819e-08,8.463843005384832e-10
-144.5,300.0,5.0,782.3082832234362,1.2465727051638857e-08,-2.9294458571351315e-10
-144.0,300.0,5.0,780.0,1.2576725766504146e-08,8.61505715005534e-10
-143.5,300.0,5.0,777.6929021149672,1.2688988204507668e-08,-2.981912228059302e-10
-143.0,300.0,5.0,775.3870001489579,1.2802531493097724e-08,8.769734072771942e-10
-142.5,300.0,5.0,773.0823048033113,1.291737302183817e-08,-3.03558266013197e-10
-142.0,300.0,5.0,770.7788269017254,1.3033530446714476e-08,8.927968355999417e-10
-141.5,300.0,5.0,768.4765773919203,1.3151021694510702e-08,-3.090490098210015e-10
-141.0,300.0,5.0,766.1755673473281,1.3269864967258278e-08,9.089857502571921e-10
-140.5,300.0,5.0,763.8758079688085,1.3390078746757668e-08,-3.1466685054880517e-10
-140.0,300.0,5.0,761.5773105863908,1.3511681799173873e-08,9.255502032434104e-10
-139.5,300.0,5.0,759.2800866610423,1.3634693179706779e-08,-3.2041528972310933e-10
-139.0,300.0,5.0,756.9841477864645,1.3759132237337411e-08,9.425005582576127e-10
-138.5,300.0,5.0,754.6895056909166,1.3885018619650997e-08,-3.262979375617984e-10
-138.0,300.0,5.0,752.3961722390671,1.4012372277737926e-08,9.59847501025048e-10
-137.5,300.0,5.0,750.1041594338749,1.4141213471173574e-08,-3.3231851657257896e-10
-137.0,300.0,5.0,747.8134794184978,1.4271562773078009e-08,9.776020499558437e-10
-136.5,300.0,5.0,745.5241444782322,1.4403441075256526e-08,-3.384808652685284e-10
-136.0,300.0,5.0,743.2361670424818,1.4536869593422089e-08,9.957755671494131e-10
-135.5,300.0,5.0,740.9495596867577,1.4671869872500542e-08,-3.447889420037627e-10
-135.0,300.0,5.0,738.6643351347078,1.4808463792019732e-08,1.0143797697533517e-09
-134.5,300.0,5.0,736.3805062601807,1.4946673571583315e-08,-3.512468289322079e-10
-134.0,300.0,5.0,734.0980860893181,1.5086521776430393e-08,1.033426741685482e-09
-133.5,300.0,5.0,731.8170878026831,1.5228031323081774e-08,-3.578587360924217e-10
-133.0,300.0,5.0,729.5375247374188,1.537122548507392e-08,1.0529289457275636e-09
-132.5,300.0,5.0,727.2594103894428,1.55161278987814e-08,-3.6462900562136285e-10
-132.0,300.0,5.0,724.9827584156743,1.5662762569328785e-08,1.0728992359990219e-09
-131.5,300.0,5.0,722.7075826362969,1.5811153876592932e-08,-3.7156211609993393e-10
-131.0,300.0,5.0,720.4338970370565,1.5961326581296392e-08,1.093350870818803e-09
-130.5,300.0,5.0,718.1617157715941,1.611330583119292e-08,-3.7866268703303363e-10
